Date,Open,High,Low,Close,Adj Close,Volume
2011-11-29,1397.119995,1427.199951,1361.280029,1416.319946,1411.267578,31900
2011-11-30,1300.479980,1313.920044,1255.040039,1263.359985,1258.853394,35100
2011-12-01,1258.239990,1260.160034,1222.400024,1232.640015,1228.242920,20100
2011-12-02,1198.719971,1244.800049,1196.800049,1242.239990,1237.808594,21100
2011-12-05,1186.560059,1223.040039,1177.599976,1202.560059,1198.270264,29500
2011-12-06,1196.800049,1223.680054,1188.479980,1211.520020,1207.198364,21900
2011-12-07,1223.040039,1257.599976,1194.880005,1212.160034,1207.835938,35500
2011-12-08,1232.640015,1278.719971,1206.400024,1271.680054,1267.143677,28900
2011-12-09,1261.439941,1264.640015,1200.000000,1211.520020,1207.198364,25800
2011-12-12,1249.280029,1281.280029,1248.000000,1249.280029,1244.823608,30400
2011-12-13,1226.239990,1308.160034,1212.800049,1292.800049,1288.188477,34100
2011-12-14,1308.800049,1374.719971,1304.959961,1352.319946,1347.495850,42800
2011-12-15,1316.479980,1370.239990,1314.560059,1364.479980,1359.612549,25200
2011-12-16,1342.079956,1350.400024,1287.680054,1345.920044,1341.118896,28900
2011-12-19,1330.560059,1393.280029,1319.040039,1381.119995,1376.193359,32500
2011-12-20,1317.119995,1317.119995,1255.680054,1260.800049,1256.302490,44100
2011-12-21,1279.359985,1356.160034,1279.359985,1311.359985,1306.682129,37300
2011-12-22,1303.680054,1310.079956,1278.719971,1280.640015,1276.071777,19800
2011-12-23,1272.319946,1280.640015,1246.079956,1246.719971,1242.272705,15400
2011-12-27,1253.119995,1255.680054,1224.319946,1237.119995,1232.707031,19200
2011-12-28,1238.400024,1287.680054,1234.560059,1276.800049,1272.245483,21100
2011-12-29,1272.319946,1283.199951,1248.000000,1250.560059,1246.099121,14600
2011-12-30,1258.239990,1260.160034,1241.599976,1260.160034,1255.664795,11800
2012-01-03,1188.479980,1198.079956,1168.640015,1189.760010,1185.515869,27900
2012-01-04,1196.160034,1208.319946,1168.640015,1173.760010,1169.572998,24400
2012-01-05,1180.800049,1192.959961,1142.400024,1143.680054,1139.600342,28300
2012-01-06,1141.760010,1155.839966,1125.760010,1132.160034,1128.121460,26600
2012-01-09,1123.839966,1154.560059,1122.560059,1142.400024,1138.324829,16300
2012-01-10,1105.920044,1127.680054,1096.959961,1118.719971,1114.729370,39700
2012-01-11,1120.000000,1131.520020,1104.000000,1111.680054,1107.714478,28900
2012-01-12,1104.640015,1128.319946,1094.400024,1096.319946,1092.409180,32900
2012-01-13,1114.239990,1137.280029,1108.479980,1108.479980,1104.525757,37900
2012-01-17,1080.319946,1091.839966,1064.959961,1081.599976,1077.741699,33600
2012-01-18,1074.560059,1078.400024,1036.160034,1037.439941,1033.739258,36400
2012-01-19,1022.080017,1027.199951,1011.200012,1016.320007,1012.694641,46700
2012-01-20,1030.400024,1031.680054,1019.520020,1020.159973,1016.520813,16400
2012-01-23,1020.159973,1037.439941,998.400024,1020.159973,1016.520813,25900
2012-01-24,1034.239990,1039.359985,1016.960022,1025.280029,1021.622681,21300
2012-01-25,995.200012,1016.960022,979.200012,986.880005,983.359558,41100
2012-01-26,973.440002,1009.919983,968.320007,997.119995,993.563049,44200
2012-01-27,1004.159973,1004.159973,983.039978,988.159973,984.635010,36900
2012-01-30,1010.559998,1024.000000,981.119995,985.599976,982.084167,31800
2012-01-31,970.880005,999.679993,965.119995,981.119995,977.620178,22800
2012-02-01,964.479980,974.719971,946.559998,958.080017,954.662354,37200
2012-02-02,947.200012,959.359985,938.880005,948.479980,945.096558,27900
2012-02-03,920.960022,926.719971,906.239990,910.080017,906.833557,34800
2012-02-06,918.400024,926.719971,910.080017,910.719971,907.471252,18600
2012-02-07,912.640015,924.799988,900.479980,904.320007,901.094116,20000
2012-02-08,904.320007,914.559998,891.520020,892.159973,888.977478,24200
2012-02-09,881.919983,897.280029,868.479980,871.679993,868.570557,31200
